match_id,home_team,away_team,home_xg_for_last_10,home_xg_against_last_10,away_xg_for_last_10,away_xg_against_last_10,home_shot_npxg_for_last_10,away_shot_npxg_for_last_10,home_shot_big_chances_for_last_10,away_shot_big_chances_for_last_10,home_ppda_for_last_10,away_ppda_for_last_10,home_finishing_over_xg_last_10,away_finishing_over_xg_last_10,home_attack_vs_away_defense_xg_last_10,away_attack_vs_home_defense_xg_last_10,xg_net_diff_last_10,shot_npxg_diff_last_10,big_chances_diff_last_10,pressing_diff_last_10,finishing_diff_last_10,h_goals,a_goals
28852,Liverpool,Manchester United,1.2910446666666668,0.9266933333333333,1.7670899999999998,2.1459466666666667,1.292396056776245,1.604299399380882,1.0,2.3333333333333335,9.905333333333333,10.748233333333333,1.0422886666666666,-1.1004233333333333,-0.8549019999999998,0.8403966666666666,0.7432080000000001,-0.31190334260463715,-1.3333333333333335,0.8429000000000002,2.142712,1,2
28853,Manchester City,Everton,2.15536,1.1029303333333333,1.1445396666666667,1.462039,2.1606352226808663,1.1495221732184286,3.0,1.6666666666666667,15.219566666666667,16.92193333333333,0.5113066666666667,0.18879366666666664,0.6933209999999999,0.04160933333333339,1.369929,1.0111130494624376,1.3333333333333333,1.7023666666666646,0.32251300000000005,2,0
28854,Nottingham Forest,Chelsea,1.2972726666666665,1.8342333333333334,1.7252706666666666,1.1661606666666666,1.3017310143137963,1.7340193446725605,1.6666666666666667,2.3333333333333335,10.096366666666666,10.099066666666667,-0.2972726666666667,0.941396,0.1311119999999999,-0.10896266666666676,-1.0960706666666666,-0.43228833035876413,-0.6666666666666667,0.002700000000000813,-1.2386686666666666,0,3
28855,Sunderland,Wolverhampton Wanderers,1.0779833333333333,0.9814473333333332,0.636273,1.2650636666666666,0.8261338102941705,0.6410318538546559,1.0,0.3333333333333333,11.9465,9.656766666666668,0.9220166666666666,-0.30293966666666666,-0.1870803333333333,-0.34517433333333325,0.7253266666666666,0.18510195643951466,0.6666666666666667,-2.2897333333333325,1.2249563333333333,2,0
28856,Tottenham,Aston Villa,0.9893203333333332,1.3379159999999999,0.7568443333333335,1.3202173333333334,1.0094460283095632,0.7579971582939221,1.0,0.3333333333333333,9.493833333333333,6.926733333333334,0.34401300000000007,-0.423511,-0.3308970000000001,-0.5810716666666664,0.21477733333333332,0.2514488700156411,0.6666666666666667,-2.567099999999999,0.7675240000000001,1,2
28857,West Ham,Brentford,0.7460616666666667,2.59988,1.199252,1.6170266666666666,0.7460615430027243,0.6948903178175286,0.6666666666666666,1.3333333333333333,17.476166666666668,14.9484,-0.07939499999999995,-0.19925199999999996,-0.8709649999999999,-1.4006280000000002,-1.4360436666666665,0.05117122518519568,-0.6666666666666666,-2.5277666666666683,0.119857,0,2
28858,Bournemouth,Nottingham Forest,1.2779325,0.49881725,0.6980047500000001,2.2354475000000003,1.0876418217085297,0.6981558671686795,1.25,0.5,9.7251,11.2653,0.22206749999999995,-0.19800475000000006,-0.9575150000000003,0.19918750000000007,2.3165579999999997,0.38948595453985024,0.75,1.5402000000000005,0.42007225000000004,2,0
28859,Arsenal,Crystal Palace,2.34909625,0.60942275,2.0362025,1.29472875,1.9916617756243788,1.8742868573172013,2.25,2.75,7.4837,16.86385,0.40090375,-0.5362024999999999,1.0543675000000001,1.42677975,0.9981997500000002,0.1173749183071775,-0.5,9.38015,0.9371062499999999,1,0
28860,Aston Villa,Manchester City,1.15648275,1.3632535,1.6630950000000002,1.03510225,1.1619549719616766,1.664818183286115,1.25,1.5,14.89185,13.558325,0.09351725,0.0869049999999999,0.12138049999999989,0.2998415000000003,-0.8347635000000001,-0.5028632113244385,-0.25,-1.3335249999999998,0.006612250000000097,1,0
28861,Brentford,Liverpool,1.446497,1.26635275,2.15076225,1.72547525,1.5082236242014913,1.9648813547100867,2.25,2.5,13.9983,9.352675,0.05350300000000005,-0.65076225,-0.27897825,0.8844095000000001,-0.24514275000000008,-0.4566577305085955,-0.25,-4.645625000000001,0.7042652500000001,3,2
28862,Chelsea,Sunderland,1.7660175,1.5763194999999999,1.0560145,1.52799,1.5780155905522402,1.0567356434185053,2.0,1.25,9.253975,19.405275,-0.5160175,-0.8060145000000001,0.23802750000000006,-0.5203049999999998,0.6616735,0.5212799471337348,0.75,10.151299999999999,0.28999700000000006,1,2
